,Accuracy,Precision,Recall,F1 Score,ROC AUC,CV Mean,CV Std
Logistic Regression,0.8994444444444445,0.7892234548335975,0.747,0.7675314667351657,0.9562241428571429,0.8955555555555555,0.0048694373138060045
Decision Tree,0.8976666666666666,0.7690773067331671,0.771,0.7700374531835206,0.8524285714285713,0.9000555555555556,0.0013653561919382783
Random Forest,0.9281111111111111,0.894460641399417,0.767,0.8258411843876178,0.9742086071428572,0.9273333333333333,0.0022142217092643965
SVM,0.918,0.8540965207631874,0.761,0.804865150713908,0.963756,0.9155555555555555,0.002773607981414817
AdaBoost,0.9126666666666666,0.8270474137931034,0.7675,0.796161825726141,0.9588500357142857,0.907611111111111,0.0021343747458109743
Gradient Boosting,0.9232222222222223,0.8789808917197452,0.759,0.8145961899651194,0.9721458571428572,0.9227222222222222,0.003010526798575021
